Port,Latitude,Longitude
Aabenraa,55.0446228,9.4209667
Aalborg Portland Cementfabrikk,,
Aarhus,56.1496278,10.2134046
Abelvær,64.7295772,11.1805405
Aberdeen,57.1482429,-2.0928095
Abu Kir,31.3203016,30.0641979
Akkarfjord,70.0521113,20.4918903
Akureyri,65.6839035,-18.1121756
Al Jubayl Industrial City,27.066944,49.550278
Algeciras,36.1311725,-5.4473991
Aliaga,38.7996,26.9707
Almeria,36.8414197,-2.4628135
Alta,55.001251,-115.002136
Altsula Ankring,,
Alvheim,60.602058,4.8003333
Alvika,62.4845396,6.403646
Amsterdam,52.3730796,4.8924534
Andenes,69.3122989,16.1057085
Anfinnsletta,,
Antwerpen,51.2211097,4.3997081
Arendal,58.4267301,8.9469491
Arkhangelsk,64.543022,40.537121
Arnvikneset,63.00965,7.97307
Arsvågen,59.1702549,5.4528704
Askvoll,61.3537424,4.6796806
Asnæsværkets Havn,62.00973,-6.77164
Atløy,61.3429527,4.9815763
Aughinish Island,53.1635849,-9.0733286
Aukra,62.939316,6.6786439
Aure,49.2738492,4.6348427
Austevoll,60.0603843,4.9432963
Austvika,66.1833682,13.2314267
Avaldsnes,59.3549362,5.2785707
Avedore,55.6256622,12.4555838
Avedøreværkets Havn,62.00973,-6.77164
Avernakke Havn,62.00973,-6.77164
Averøy,63.1371204,7.4323066
Aviles,43.5554436,-5.9222466
Balder,51.1179047,4.6575109
Balestrand,61.2096194,6.5360834
Ballangen,68.342872,16.8313381
Ballstad,68.0742983,13.5450454
Balsnesodden,69.5627348,18.827573
Barentsburg,78.065362,14.2172367
Barentshavet,74.3478217,37.809937
Barstrand,68.2795545,14.2523724
Beaumont,30.0860459,-94.1018461
Bekkeri,16.5211173,74.8102093
Bekkjarvik,60.0071016,5.2043518
Belfast,54.596391,-5.9301829
Bergen,60.3943055,5.3259192
Bergeneset,69.2367639,19.3599972
Bergsfjord,70.2493361,21.7922425
Berlevåg,70.7990451,29.1505286
Bessaker,64.245238,10.3248252
Beverwijk,52.4857561,4.6578632
Bilbao,43.2630018,-2.9350039
Bindal,65.2211102,12.4357521
Birkenhead,53.3895177,-3.0248007
Bjarkøy,68.9953736,16.5435064
Bjerkvik,68.5491657,17.5571481
Bjoa,59.664878,5.6428277
Bjordal,61.0762712,5.8300862
Bjugn,63.7649663,9.808629
Blokken,73.8,-24.5383333
Blomvåg,60.5297492,4.8760581
Blyth,55.1270903,-1.5099726
Bodø,67.3094783,13.915442
Bogen,48.9082826,12.7185426
Bognes,68.2237265,16.0757563
Bogøy,67.9032889,15.1831418
Bokn,59.1925241,5.4757026
Boknafjorden,59.131568,5.4883569
Bordeaux,44.841225,-0.5800364
Borgundvåg,62.1519504,5.2959442
Borkenes,68.7726305,16.1715549
Bornem,51.0909633,4.2389677
Boston,42.3554334,-71.060511
Botn - Sandnessjøen,65.992954,12.616372
Botnaneset - Flora,61.6079804,5.0674224
Botnhamn,69.5082193,17.9028281
Brage,-6.86801,14.61624
Brake,53.3256109,8.4806296
Brattvåg,62.599812,6.444248
