fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
SJOBRIS,Nordsjøen,Mjølstadneset,2022-01-16 15:54:00+00:00,2022-02-25 05:00:00+00:00
VLADIMIR ZAGOSKIN,Båtsfjord,Barentshavet,2022-01-12 21:00:00+00:00,2022-01-16 09:00:00+00:00
KV NORDKAPP,Sortland,Barentshavet,2022-01-04 15:30:00+00:00,2022-01-06 15:30:00+00:00
ROALDSEN,Nordsjøen,Egersund,2022-01-28 23:00:00+00:00,2022-02-22 03:00:00+00:00
KVITUNGEN,Barentshavet,Båtsfjord,2022-01-26 05:16:00+00:00,2022-02-24 06:00:00+00:00
ZVEZDA MURMANA ,Båtsfjord,Barentshavet,2022-01-11 22:23:00+00:00,2022-01-12 16:00:00+00:00
SKANDI HUGEN,Risavika,Offshoreinst. Nordsjøen,2022-01-06 14:00:00+00:00,2022-01-07 13:00:00+00:00
KV BARENTSHAV,Barentshavet,Ramsund,2022-01-03 23:00:00+00:00,2022-01-05 06:00:00+00:00
NEXANS AURORA,Stavanger,Montrose,2022-01-17 19:15:00+00:00,2022-01-19 11:00:00+00:00
WITH JUNIOR,Harstad ,Harstad ,2022-01-02 20:00:00+00:00,2022-01-02 20:30:00+00:00
HELMER HANSSEN,Tromsø,Longyearbyen,2022-01-03 21:00:00+00:00,2022-01-06 16:45:00+00:00
ARIES SAKURA,Botnaneset - Flora,Antwerpen,2022-01-02 17:00:00+00:00,2022-01-05 11:00:00+00:00
NISSOS RHENIA,Port Louis,Mongstad,2022-01-30 12:00:00+00:00,2022-03-15 02:00:00+00:00
SJOVAER,Måløy,Barentshavet,2022-01-02 15:00:00+00:00,2022-01-06 11:00:00+00:00
STORMHAV,Nordlenangen,Tromsø,2022-01-03 17:00:00+00:00,2022-01-04 00:00:00+00:00
KAPITAN GERASHCHENKO,Båtsfjord,Barentshavet,2022-01-08 03:18:00+00:00,2022-01-08 19:00:00+00:00
SOUTHERN LINER,Rørvik,Rørvik,2022-01-06 12:00:00+00:00,2022-01-06 13:00:00+00:00
YEOMAN BONTRUP,Amsterdam,Dyrstad,2022-01-04 00:10:00+00:00,2022-01-06 18:40:00+00:00
VONAR,Tromsø,Barentshavet,2022-01-01 22:00:00+00:00,2022-01-02 11:00:00+00:00
LIKYA THERESA,Kristiansund,Göteborg,2022-01-04 21:15:00+00:00,2022-01-06 17:01:00+00:00
DENSA DEFNE,Herøya,Antwerpen,2022-01-04 05:00:00+00:00,2022-01-06 22:00:00+00:00
FRONT LEOPARD,Mongstad,Porvoo ,2022-01-02 00:00:00+00:00,2022-01-04 22:59:00+00:00
OTTO SVERDRUP,Alta,Honningsvåg,2022-01-04 00:30:00+00:00,2022-01-04 09:00:00+00:00
AASTUN,Nakskov,Rekefjord,2022-01-01 04:00:00+00:00,2022-01-02 13:00:00+00:00
STAVANGERFJORD,Halhjem,Fedje ,2022-01-02 16:40:00+00:00,2022-01-02 20:00:00+00:00
FANOYVAG,Måløy,Barentshavet,2022-01-03 22:59:00+00:00,2022-01-04 18:00:00+00:00
SEAWAYS TRITON,Mongstad,China,2022-01-01 03:50:00+00:00,2022-02-13 23:00:00+00:00
STORNES,Skipavik-Gulen,Lessremman,2022-01-04 22:00:00+00:00,2022-01-06 18:00:00+00:00
NCL HAUGESUND,Risavika,Rotterdam,2022-01-02 14:40:00+00:00,2022-01-04 00:00:00+00:00
BEATE,Larvik,Bremerhaven,2022-01-02 03:00:00+00:00,2022-01-03 03:00:00+00:00
OTTO SVERDRUP,Honningsvåg,Tromsø,2022-01-04 19:00:00+00:00,2022-01-05 09:00:00+00:00
LIKYA THERESA,Dusavik,Mongstadbase,2022-01-01 19:10:00+00:00,2022-01-02 11:30:00+00:00
VESTTIND,Barentshavet,Tromsø,2022-01-02 07:00:00+00:00,2022-01-03 21:00:00+00:00
FEDERAL NAGARA,Herøya,Brazil,2022-01-04 16:05:00+00:00,2022-01-15 11:00:00+00:00
JSP SKIRNER,Ålesund,Ikornnes,2022-01-03 20:00:00+00:00,2022-01-03 22:45:00+00:00
WILSON PORI,Lillebukt,Ravenna,2022-01-03 19:00:00+00:00,2022-01-18 11:00:00+00:00
MISSOURIBORG,Herøya,Herøya,2022-01-01 03:20:00+00:00,2022-01-01 04:45:00+00:00
NCL SVELGEN,Mo i Rana,Stokmarknes,2022-01-03 20:30:00+00:00,2022-01-04 11:30:00+00:00
FAMITA,Ålesund,Ålesund,2022-01-01 11:00:00+00:00,2022-01-01 12:20:00+00:00
NORMAND FALNES,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-01 11:55:00+00:00,2022-01-01 18:00:00+00:00
NORMAND DROTT,Husøy - Karmøy,Bergen,2022-01-01 14:00:00+00:00,2022-01-02 00:00:00+00:00
MAUD,Brønnøysund,Svolvær,2022-01-02 18:00:00+00:00,2022-01-03 08:30:00+00:00
BULKNES,Jelsa,Nordenham,2022-01-02 07:40:00+00:00,2022-01-04 06:00:00+00:00
WILSON DUISBURG,Valsneset,Tyssedal,2022-01-02 13:30:00+00:00,2022-01-05 05:00:00+00:00
KONGSFJORD,Barentshavet,Tromsø,2022-01-01 00:00:00+00:00,2022-01-02 10:30:00+00:00
BONTRUP AMSTERDAM,Liverpool,Dyrstad,2022-01-10 16:00:00+00:00,2022-01-14 19:25:00+00:00
AASLI,Puttgarden,Mandal,2022-01-01 19:00:00+00:00,2022-01-03 06:00:00+00:00
MAERSK MARINER,Molde,Offshore,2022-01-04 14:40:00+00:00,2022-01-05 12:40:00+00:00
BORE BAY,Risavika,Husnes,2022-01-02 23:02:00+00:00,2022-01-03 07:48:00+00:00
KARVUNA,Kvinesdal,Ust-Luga,2022-01-03 07:10:00+00:00,2022-01-07 19:00:00+00:00
ISLAND CONTENDER,Risavika,Risavika,2022-01-03 10:00:00+00:00,2022-01-03 10:30:00+00:00
LADY ISABEL,Mo i Rana,Arkhangelsk,2022-01-14 22:30:00+00:00,2022-01-15 21:00:00+00:00
NAUTICA,Glomfjord,Mo i Rana,2022-01-04 10:00:00+00:00,2022-01-04 14:00:00+00:00
WILSON AMSTERDAM,Valsneset,Eikefet,2022-01-06 20:55:00+00:00,2022-01-08 08:40:00+00:00
OTTO SVERDRUP,Svolvær,Alta,2022-01-02 14:00:00+00:00,2022-01-03 12:30:00+00:00
LINDO,Årdalstangen,Gudvangen,2022-01-04 05:00:00+00:00,2022-01-04 09:10:00+00:00
HAVILA JUPITER,Mongstadbase,Kristiansund,2022-01-01 15:00:00+00:00,2022-01-02 19:00:00+00:00
MAUD,Kristiansund,Bergen,2022-01-08 16:00:00+00:00,2022-01-09 11:00:00+00:00
TROMS SIRIUS,Offshoreinst. Nordsjøen,Dusavik,2022-01-03 11:00:00+00:00,2022-01-03 22:55:00+00:00
BONA SEA,Solund,Askvoll,2022-01-03 11:00:00+00:00,2022-01-03 12:40:00+00:00
SYDSTRAUM,Engene,Kambo,2022-01-05 18:40:00+00:00,2022-01-05 20:55:00+00:00
SCANBIO ELIDA,Solund,Måløy,2022-01-03 10:15:00+00:00,2022-01-03 18:50:00+00:00
LUMEN,Seljestokken,Kaliningrad,2022-01-05 01:00:00+00:00,2022-01-09 11:00:00+00:00
REESTBORG,San Ciprian,Mosjøen,2022-01-01 17:25:00+00:00,2022-01-08 19:35:00+00:00
ROSTEIN,Alta,Kvalfjord,2022-01-02 20:40:00+00:00,2022-01-02 23:30:00+00:00
PEARL SEAWAYS,Frederikshavn,Oslo,2022-01-02 22:45:00+00:00,2022-01-03 08:14:00+00:00
360 SUPPLIER,Rekefjord,Tyborøn,2022-01-02 18:00:00+00:00,2022-01-03 09:00:00+00:00
EIDSVAAG OPAL,Maursundet,Bergeneset,2022-01-02 15:30:00+00:00,2022-01-03 02:00:00+00:00
SAMSKIP KVITBJORN,Fusa,Risavika,2022-01-02 20:35:00+00:00,2022-01-03 03:55:00+00:00
LADY AYANA,Bygstad,Kaupanger,2022-01-03 04:35:00+00:00,2022-01-03 14:00:00+00:00
WATERLORD,Ålesund,Ulsteinvik,2022-01-03 04:49:00+00:00,2022-01-03 13:15:00+00:00
EAGLE BARENTS,Mongstad,Offshore,2022-01-03 15:00:00+00:00,2022-01-03 22:59:00+00:00
MISSOURIBORG,Herøya,"Ukjent lokasjon, ukjent land",2022-01-02 02:15:00+00:00,2022-01-05 10:15:00+00:00
FALKFJORD,Orkanger,Salten,2022-01-04 18:10:00+00:00,2022-01-06 09:00:00+00:00
TUNFISK,Sommarøy,Nordsjøen,2022-01-03 20:00:00+00:00,2022-01-04 11:33:00+00:00
