fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
SJOBRIS,Nordsjøen,Mjølstadneset,2022-01-16 15:54:00+00:00,2022-02-25 05:00:00+00:00,56.00276,3.000129,62.3229355,5.6679562
VLADIMIR ZAGOSKIN,Båtsfjord,Barentshavet,2022-01-12 21:00:00+00:00,2022-01-16 09:00:00+00:00,70.6142761,30.3274063,74.3478217,37.809937
KV NORDKAPP,Sortland,Barentshavet,2022-01-04 15:30:00+00:00,2022-01-06 15:30:00+00:00,68.767296,15.3679179,74.3478217,37.809937
ROALDSEN,Nordsjøen,Egersund,2022-01-28 23:00:00+00:00,2022-02-22 03:00:00+00:00,56.00276,3.000129,58.4515121,6.0007554
KVITUNGEN,Barentshavet,Båtsfjord,2022-01-26 05:16:00+00:00,2022-02-24 06:00:00+00:00,74.3478217,37.809937,70.6142761,30.3274063
ZVEZDA MURMANA ,Båtsfjord,Barentshavet,2022-01-11 22:23:00+00:00,2022-01-12 16:00:00+00:00,70.6142761,30.3274063,74.3478217,37.809937
SKANDI HUGEN,Risavika,Offshoreinst. Nordsjøen,2022-01-06 14:00:00+00:00,2022-01-07 13:00:00+00:00,58.9266035,5.598135,,
KV BARENTSHAV,Barentshavet,Ramsund,2022-01-03 23:00:00+00:00,2022-01-05 06:00:00+00:00,74.3478217,37.809937,68.49194,16.5182034
NEXANS AURORA,Stavanger,Montrose,2022-01-17 19:15:00+00:00,2022-01-19 11:00:00+00:00,58.9699675,5.7318101,38.4375391,-108.2403855
WITH JUNIOR,Harstad ,Harstad ,2022-01-02 20:00:00+00:00,2022-01-02 20:30:00+00:00,,,,
HELMER HANSSEN,Tromsø,Longyearbyen,2022-01-03 21:00:00+00:00,2022-01-06 16:45:00+00:00,69.6516345,18.9558585,78.2231558,15.6463656
ARIES SAKURA,Botnaneset - Flora,Antwerpen,2022-01-02 17:00:00+00:00,2022-01-05 11:00:00+00:00,61.6079804,5.0674224,51.2211097,4.3997081
NISSOS RHENIA,Port Louis,Mongstad,2022-01-30 12:00:00+00:00,2022-03-15 02:00:00+00:00,-20.1624522,57.5028044,60.797934,5.011611
SJOVAER,Måløy,Barentshavet,2022-01-02 15:00:00+00:00,2022-01-06 11:00:00+00:00,61.9336888,5.1129133,74.3478217,37.809937
STORMHAV,Nordlenangen,Tromsø,2022-01-03 17:00:00+00:00,2022-01-04 00:00:00+00:00,69.9208015,20.190289,69.6516345,18.9558585
KAPITAN GERASHCHENKO,Båtsfjord,Barentshavet,2022-01-08 03:18:00+00:00,2022-01-08 19:00:00+00:00,70.6142761,30.3274063,74.3478217,37.809937
SOUTHERN LINER,Rørvik,Rørvik,2022-01-06 12:00:00+00:00,2022-01-06 13:00:00+00:00,64.8615745,11.2379128,64.8615745,11.2379128
YEOMAN BONTRUP,Amsterdam,Dyrstad,2022-01-04 00:10:00+00:00,2022-01-06 18:40:00+00:00,52.3730796,4.8924534,64.0759124,11.4743387
VONAR,Tromsø,Barentshavet,2022-01-01 22:00:00+00:00,2022-01-02 11:00:00+00:00,69.6516345,18.9558585,74.3478217,37.809937
LIKYA THERESA,Kristiansund,Göteborg,2022-01-04 21:15:00+00:00,2022-01-06 17:01:00+00:00,63.2168194,7.545259,57.7072326,11.9670171
DENSA DEFNE,Herøya,Antwerpen,2022-01-04 05:00:00+00:00,2022-01-06 22:00:00+00:00,60.1031064,10.3180849,51.2211097,4.3997081
FRONT LEOPARD,Mongstad,Porvoo ,2022-01-02 00:00:00+00:00,2022-01-04 22:59:00+00:00,60.797934,5.011611,,
OTTO SVERDRUP,Alta,Honningsvåg,2022-01-04 00:30:00+00:00,2022-01-04 09:00:00+00:00,55.001251,-115.002136,70.9802638,25.977841
AASTUN,Nakskov,Rekefjord,2022-01-01 04:00:00+00:00,2022-01-02 13:00:00+00:00,54.8304979,11.1493517,58.3393981,6.260425
STAVANGERFJORD,Halhjem,Fedje ,2022-01-02 16:40:00+00:00,2022-01-02 20:00:00+00:00,60.1486848,5.4298465,,
FANOYVAG,Måløy,Barentshavet,2022-01-03 22:59:00+00:00,2022-01-04 18:00:00+00:00,61.9336888,5.1129133,74.3478217,37.809937
SEAWAYS TRITON,Mongstad,China,2022-01-01 03:50:00+00:00,2022-02-13 23:00:00+00:00,60.797934,5.011611,35.0000663,104.999955
STORNES,Skipavik-Gulen,Lessremman,2022-01-04 22:00:00+00:00,2022-01-06 18:00:00+00:00,60.8526453,5.030247,,
NCL HAUGESUND,Risavika,Rotterdam,2022-01-02 14:40:00+00:00,2022-01-04 00:00:00+00:00,58.9266035,5.598135,51.9244424,4.47775
BEATE,Larvik,Bremerhaven,2022-01-02 03:00:00+00:00,2022-01-03 03:00:00+00:00,59.0967308,10.02193,53.5505392,8.5851945
OTTO SVERDRUP,Honningsvåg,Tromsø,2022-01-04 19:00:00+00:00,2022-01-05 09:00:00+00:00,70.9802638,25.977841,69.6516345,18.9558585
LIKYA THERESA,Dusavik,Mongstadbase,2022-01-01 19:10:00+00:00,2022-01-02 11:30:00+00:00,58.9971222,5.6656063,,
VESTTIND,Barentshavet,Tromsø,2022-01-02 07:00:00+00:00,2022-01-03 21:00:00+00:00,74.3478217,37.809937,69.6516345,18.9558585
FEDERAL NAGARA,Herøya,Brazil,2022-01-04 16:05:00+00:00,2022-01-15 11:00:00+00:00,60.1031064,10.3180849,-10.3333333,-53.2
JSP SKIRNER,Ålesund,Ikornnes,2022-01-03 20:00:00+00:00,2022-01-03 22:45:00+00:00,62.4802363,6.5550739,62.3847263,6.5554555
WILSON PORI,Lillebukt,Ravenna,2022-01-03 19:00:00+00:00,2022-01-18 11:00:00+00:00,70.2636777,22.6204722,44.3640607,12.0590095
MISSOURIBORG,Herøya,Herøya,2022-01-01 03:20:00+00:00,2022-01-01 04:45:00+00:00,60.1031064,10.3180849,60.1031064,10.3180849
NCL SVELGEN,Mo i Rana,Stokmarknes,2022-01-03 20:30:00+00:00,2022-01-04 11:30:00+00:00,66.3110969,14.1386991,68.5670003,14.9133484
FAMITA,Ålesund,Ålesund,2022-01-01 11:00:00+00:00,2022-01-01 12:20:00+00:00,62.4802363,6.5550739,62.4802363,6.5550739
NORMAND FALNES,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-01 11:55:00+00:00,2022-01-01 18:00:00+00:00,61.6079804,5.0674224,,
NORMAND DROTT,Husøy - Karmøy,Bergen,2022-01-01 14:00:00+00:00,2022-01-02 00:00:00+00:00,59.3403428,5.3070642,60.3943055,5.3259192
MAUD,Brønnøysund,Svolvær,2022-01-02 18:00:00+00:00,2022-01-03 08:30:00+00:00,65.4748755,12.2116394,68.2321709,14.5646019
BULKNES,Jelsa,Nordenham,2022-01-02 07:40:00+00:00,2022-01-04 06:00:00+00:00,43.1608097,16.6931431,53.4973636,8.4820227
WILSON DUISBURG,Valsneset,Tyssedal,2022-01-02 13:30:00+00:00,2022-01-05 05:00:00+00:00,63.820758,9.636737,60.1163142,6.5590922
KONGSFJORD,Barentshavet,Tromsø,2022-01-01 00:00:00+00:00,2022-01-02 10:30:00+00:00,74.3478217,37.809937,69.6516345,18.9558585
BONTRUP AMSTERDAM,Liverpool,Dyrstad,2022-01-10 16:00:00+00:00,2022-01-14 19:25:00+00:00,53.4071991,-2.99168,64.0759124,11.4743387
AASLI,Puttgarden,Mandal,2022-01-01 19:00:00+00:00,2022-01-03 06:00:00+00:00,54.4964975,11.2121117,58.0268181,7.4534802
MAERSK MARINER,Molde,Offshore,2022-01-04 14:40:00+00:00,2022-01-05 12:40:00+00:00,62.6016257,8.1386208,33.5762077,-117.8266011
BORE BAY,Risavika,Husnes,2022-01-02 23:02:00+00:00,2022-01-03 07:48:00+00:00,58.9266035,5.598135,59.8609617,5.7563039
KARVUNA,Kvinesdal,Ust-Luga,2022-01-03 07:10:00+00:00,2022-01-07 19:00:00+00:00,58.5181307,6.953961,59.659244,28.2695087
ISLAND CONTENDER,Risavika,Risavika,2022-01-03 10:00:00+00:00,2022-01-03 10:30:00+00:00,58.9266035,5.598135,58.9266035,5.598135
LADY ISABEL,Mo i Rana,Arkhangelsk,2022-01-14 22:30:00+00:00,2022-01-15 21:00:00+00:00,66.3110969,14.1386991,64.543022,40.537121
